,JASA,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
,01/02/1996,13.375,13.375,13,13.25,12600
JASA,01/03/1996,13.125,13.125,12.5,12.5,5700
JASA,01/04/1996,12.375,13,12.375,13,11900
JASA,01/05/1996,13.125,13.375,13,13.375,78800
JASA,01/08/1996,13.5,13.5,13.5,13.5,2500
JASA,01/09/1996,13.5,13.5,13.375,13.375,10600
JASA,01/10/1996,13.5,13.5,13,13,16300
JASA,01/11/1996,12.875,13.375,12.75,13.375,5600
JASA,01/12/1996,13.25,13.75,13.25,13.75,7700
JASA,01/15/1996,13.625,13.875,13.5,13.5,4700
JASA,01/16/1996,13.5,13.875,13.5,13.875,8800
JASA,01/17/1996,13.75,13.75,13.625,13.75,6300
JASA,01/18/1996,13.625,13.75,13.625,13.75,1100
JASA,01/19/1996,13.75,13.75,13.125,13.375,106600
JASA,01/22/1996,13.25,13.5,13.25,13.5,2400
JASA,01/23/1996,13.25,14.125,13.125,13.75,14800
JASA,01/24/1996,13.75,14.125,13.75,14.125,1900
JASA,01/25/1996,14,14.875,14,14.875,7700
JASA,01/26/1996,14.75,14.75,14.25,14.25,3400
JASA,01/29/1996,14.125,14.125,13.625,14,9300
JASA,01/30/1996,13.875,13.875,13.5,13.625,1100
JASA,01/31/1996,13.625,13.75,13.5,13.625,2100
JASA,02/01/1996,13.75,14.125,13.75,14.125,16600
JASA,02/02/1996,14,14.25,14,14,4400
JASA,02/05/1996,13.875,14.25,13.75,14.25,7600
JASA,02/06/1996,14.125,14.25,14,14,1000
JASA,02/07/1996,14,14.125,14,14.125,4200
JASA,02/08/1996,14.125,14.25,14,14.25,7700
JASA,02/09/1996,14,14,13.625,13.625,4100
JASA,02/12/1996,13.375,13.5,13.375,13.375,3500
JASA,02/13/1996,13.25,13.375,13.125,13.25,20600
JASA,02/14/1996,13,13.125,13,13.125,2000
JASA,02/15/1996,12.875,12.875,11.875,11.875,30000
JASA,02/16/1996,11.625,11.875,11.625,11.875,4400
JASA,02/20/1996,11.75,11.875,11.75,11.875,1500
JASA,02/21/1996,11.75,12.125,11.75,11.875,3800
JASA,02/22/1996,12.125,12.25,12,12.125,12000
JASA,02/23/1996,12,12,11.625,12,7400
JASA,02/26/1996,12,12.125,11.875,12.125,1700
JASA,02/27/1996,12.375,12.875,12.375,12.75,9600
JASA,02/28/1996,12.875,12.875,12.125,12.25,38100
JASA,02/29/1996,12.125,12.25,12,12.25,6000
JASA,03/01/1996,12.25,12.625,12.25,12.625,12300
JASA,03/04/1996,12.5,12.625,12.25,12.5,8500
JASA,03/05/1996,12.5,12.5,12.375,12.5,3100
JASA,03/06/1996,12.5,12.75,12.5,12.625,6600
JASA,03/07/1996,12.75,12.875,12.625,12.875,2900
